"standardized_species","exclusion_type","number_of_studies"
"Capelin (Mallotus villosus)","Broad wild-caught-only group exclusion",2
"Cod Roe (no species specified)","Production method: not specified, exclude",2
"Common Barbel (Barbus barbus)","Broad wild-caught-only group exclusion",2
"Conch (no species specified)","Broad wild-caught-only group exclusion",2
"Conger Eel (Conger myriaster)","Species-level wild-caught exclusion within retained commodity group",2
"Croaker (no species specified)","Species-level wild-caught exclusion within retained commodity group",2
"Dogfish (Squalus acanthias)","Broad wild-caught-only group exclusion",2
"Escolar (Lepidocybium flavobrunneum)","Broad wild-caught-only group exclusion",2
"European Conger (Conger conger)","Species-level wild-caught exclusion within retained commodity group",2
"Flexuous Picarel (Spicara flexuosa)","Broad wild-caught-only group exclusion",2
"Frigate Tuna (Auxis thazard)","Broad wild-caught-only group exclusion",2
"Frostfish (Lepidopus caudatus)","Broad wild-caught-only group exclusion",2
"Golden Thread (no species specified)","Production method: not specified, exclude",2
"Greenland Halibut (Reinhardtius hippoglossoides)","Species-level wild-caught exclusion within retained commodity group",2
"Grouper (no species specified)","Species-level wild-caught exclusion within retained commodity group",2
"Herring (Clupea pallasii)","Broad wild-caught-only group exclusion",2
"Horse Mackerel (Trachurus species not specified)","Broad wild-caught-only group exclusion",2
"Indian Scad (Decapterus russelli)","Species-level wild-caught exclusion within retained commodity group",2
"Indian Spiny Turbot (Psettodes erumei)","Broad wild-caught-only group exclusion",2
"Japanese Stone Crab (Charybdis japonica)","Species-level wild-caught exclusion within retained commodity group",2
"Javelin Grunter (Pomadasys kaakan)","Broad wild-caught-only group exclusion",2
"Lesser Tigertooth Croaker (Otolithes cuvieri)","Species-level wild-caught exclusion within retained commodity group",2
"Mangrove Swimming Crab (Thalamita crenata)","Species-level wild-caught exclusion within retained commodity group",2
"Mi-iuy Croaker (Miichthys miiuy)","Species-level wild-caught exclusion within retained commodity group",2
"Mitre Squid (Loligo chinensis)","Broad wild-caught-only group exclusion",2
"Mollusks (no species specified)","Production method: not specified, exclude",2
"Monkfish (Lophius species not specified)","Broad wild-caught-only group exclusion",2
"Northern Pike (Esox lucius)","Broad wild-caught-only group exclusion",2
"Oval Squid (Sepioteuthis lessoniana)","Broad wild-caught-only group exclusion",2
"Pagre (Pagrus pagrus)","Broad wild-caught-only group exclusion",2
"Parrotfish (Scarus ghobban)","Broad wild-caught-only group exclusion",2
"Patagonian Toothfish (Dissostichus eleginoides)","Broad wild-caught-only group exclusion",2
"Pollock (Pollachius virens)","Broad wild-caught-only group exclusion",2
"Predatory Carp (Erythroculter ilishaeformis)","Broad wild-caught-only group exclusion",2
"Rainbow Shrimp (Parapenaeopsis sculptilis)","Species-level wild-caught exclusion within retained commodity group",2
"Red Snapper (Lutjanus campechanus)","Species-level wild-caught exclusion within retained commodity group",2
"Red Tongue Sole (Cynoglossus joyneri)","Species-level wild-caught exclusion within retained commodity group",2
"Ribbon Fish (no species specified)","Broad wild-caught-only group exclusion",2
"Rock Goby (Gobius paganellus)","Broad wild-caught-only group exclusion",2
"Russell's Snapper (Lutjanus russellii)","Species-level wild-caught exclusion within retained commodity group",2
"Salema Porgy (Sarpa salpa)","Broad wild-caught-only group exclusion",2
"Sand Steenbras (Lithognathus mormyrus)","Broad wild-caught-only group exclusion",2
"Sardine (Sardine pilchardus)","Broad wild-caught-only group exclusion",2
"Saury (no species specified)","Broad wild-caught-only group exclusion",2
"Shortarm Octopus (Octopus ocellatus)","Broad wild-caught-only group exclusion",2
"Shrimp (Fenneropenaeus indicus)","Production method: not specified, exclude",2
"Shrimp (Penaeus kerathurus)","Production method: not specified, exclude",2
"Shrimp (Penaeus setiferus)","Production method: not specified, exclude",2
"Silver-stripe Round Herring (Spratelloides gracilis)","Broad wild-caught-only group exclusion",2
"Sin Croaker (Johnius dussumieri)","Species-level wild-caught exclusion within retained commodity group",2
"Smelt (no species specified)","Broad wild-caught-only group exclusion",2
"Smooth Callista (Callista chione)","Broad wild-caught-only group exclusion",2
"Snapper (no species specified)","Production method: not specified, exclude",2
"Soldier Croaker (Nibea soldado)","Species-level wild-caught exclusion within retained commodity group",2
"Southern Pink Shimp (Penaeus notialis)","Production method: not specified, exclude",2
"Spear Shrimp (Parapenaeopsis hardwickii)","Species-level wild-caught exclusion within retained commodity group",2
"Squid (Loligo duvauceli)","Broad wild-caught-only group exclusion",2
"Squid (Uroteuthis duvaucelii)","Broad wild-caught-only group exclusion",2
"Tardoore (Opisthopterus tardoore)","Broad wild-caught-only group exclusion",2
"White Sardinella (Escualosa thoracata)","Broad wild-caught-only group exclusion",2
"White-spotted Rabbitfish (Siganus canaliculatus)","Broad wild-caught-only group exclusion",2
"Yellow Croaker (Pseudosciaena manchurica)","Species-level wild-caught exclusion within retained commodity group",2
"Yellow Shrimp (Metapenaeus brevicornis)","Species-level wild-caught exclusion within retained commodity group",2
"Yellowstripe Scad (Selaroides leptolepis)","Species-level wild-caught exclusion within retained commodity group",2
"Adriatic Sole (Pegusa impar)","Species-level wild-caught exclusion within retained commodity group",1
"Alfonsin (no species specified)","Broad wild-caught-only group exclusion",1
"Anchovy (Engraulis species)","Broad wild-caught-only group exclusion",1
"Argentine Shortfin Squid (Illex argentinus)","Broad wild-caught-only group exclusion",1
