"commodity_group","region","number_of_studies"
"Shrimp/Prawn","Germany",1
"Shrimp/Prawn","Gulf of Mannar",1
"Shrimp/Prawn","Indonesia",1
"Shrimp/Prawn","Iran",1
"Shrimp/Prawn","Romania",1
"Shrimp/Prawn","Sweden",1
"Shrimp/Prawn","Switzerland",1
"Shrimp/Prawn","Taiwan",1
"Shrimp/Prawn","Thailand",1
"Shrimp/Prawn","Vietnam",1
"Snakehead","Cambodia",1
"Snakehead","India",1
"Snapper","Iran",1
"Snapper","Mixed",1
"Tilapia","Brazil",1
"Tilapia","France",1
"Tilapia","Germany",1
"Tilapia","Indonesia",1
"Tilapia","Iran",1
"Tilapia","Kuwait",1
"Tilapia","Malawi",1
"Tilapia","Mediterranean Sea",1
"Tilapia","Netherlands",1
"Tilapia","Saudi Arabia",1
"Tilapia","Senegal",1
"Tilapia","Tanzania",1
"Tilapia","Vietnam",1
"Trout","France",1
"Trout","Malaysia",1
"Trout","Mixed",1
"Trout","Spain",1
"Whelk/Abalone/Other Gastropods","Oman",1
"Whelk/Abalone/Other Gastropods","Romania",1
"Whelk/Abalone/Other Gastropods","Thailand",1
"Whelk/Abalone/Other Gastropods","USA",1
"Whelk/Abalone/Other Gastropods","Vietnam",1
